,Address,NoOfBedrooms,NoOfBathrooms,AreaSqYards
3310,"Emaar Reef Towers, Emaar Crescent Bay",3.0,5.0,272
11946,"Shaheed Millat Road, Karachi",3.0,3.0,183
8544,"Emaar Coral Towers, Emaar Crescent Bay",4.0,5.0,272
3214,"Naya Nazimabad - Block D, Naya Nazimabad",5.0,5.0,240
12524,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,150
2682,other,3.0,3.0,311
11753,"Ittehad Commercial Area, DHA Phase 6",2.0,2.0,100
18695,"Saima Arabian Villas, Gadap Town",3.0,4.0,160
2330,"Falcon Complex New Malir, Malir",5.0,5.0,500
5241,"Askari 5, Malir Cantonment",3.0,3.0,286
19034,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",2.0,2.0,94
7374,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
10456,other,3.0,3.0,200
8420,"Falcon Complex New Malir, Malir",5.0,5.0,500
12190,"DHA Phase 7, DHA Defence",4.0,4.0,500
13915,"North Town Residency, Surjani Town",3.0,3.0,120
599,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
7325,"Amir Khusro, Karachi",3.0,3.0,189
19424,other,2.0,2.0,100
6480,other,4.0,6.0,120
12004,"Shaheed Millat Road, Karachi",4.0,4.0,267
8975,"Bahria Apartments, Bahria Town Karachi",3.0,3.0,250
14776,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
7455,"Gohar Green City, Karachi",2.0,3.0,120
9891,"Bahria Town - Precinct 19, Bahria Town Karachi",2.0,2.0,106
16718,"Clifton - Block 8, Clifton",3.0,3.0,228
6386,"Gulistan-e-Jauhar - Block 17, Gulistan-e-Jauhar",3.0,3.0,150
7873,"Navy Housing Scheme Karsaz, Karachi",5.0,7.0,467
13192,"Clifton - Block 5, Clifton",3.0,3.0,211
18859,other,6.0,6.0,160
12064,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",3.0,3.0,152
13731,"DHA Phase 6, DHA Defence",5.0,6.0,500
18314,other,2.0,3.0,152
3341,"DHA Phase 8, DHA Defence",4.0,5.0,500
3243,"Model Colony - Malir, Malir",4.0,6.0,131
5354,other,3.0,3.0,150
12725,"DHA Phase 7, DHA Defence",6.0,6.0,400
8810,"Bahria Town - Precinct 6, Bahria Town Karachi",4.0,4.0,272
9528,"Sharfabad, Gulshan-e-Iqbal Town",3.0,3.0,189
18051,"Clifton - Block 3, Clifton",4.0,4.0,244
2388,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
8896,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
12865,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",5.0,5.0,300
7691,"Federal B Area - Block 13, Federal B Area",3.0,3.0,400
7579,"Federal B Area - Block 12, Federal B Area",7.0,8.0,200
8049,"Askari 5, Malir Cantonment",3.0,4.0,289
13596,"Gulzar-e-Hijri, Scheme 33",2.0,2.0,99
13798,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
18787,other,5.0,6.0,200
2658,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
7628,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",6.0,6.0,240
2022,"Askari 5, Malir Cantonment",3.0,3.0,286
14750,"Sector 31 - Punjabi Saudagar City Phase 2, Scheme 33 - Sector 31",4.0,3.0,120
867,"Saima Arabian Villas, Gadap Town",2.0,2.0,80
8223,"Cantt Bazar, Malir Cantonment",6.0,5.0,240
9815,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",4.0,6.0,300
6948,"Model Colony - Malir, Malir",4.0,6.0,131
3834,"Gulshan-e-Iqbal Town, Karachi",2.0,2.0,106
2931,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",2.0,2.0,122
7092,"DHA Phase 8 - Zone A, DHA Phase 8",6.0,6.0,666
12537,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
18379,"DHA Phase 8, DHA Defence",5.0,5.0,120
4573,"Falcon Complex New Malir, Malir",5.0,6.0,350
16327,"Chapal Courtyard, Karachi",2.0,2.0,106
368,"North Nazimabad - Block L, North Nazimabad",6.0,6.0,233
17793,"Saima Villas, Karachi Motorway",3.0,3.0,120
17328,"DHA Phase 6, DHA Defence",5.0,6.0,568
15692,"PECHS Block 2, PECHS",4.0,4.0,400
5228,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
5200,"Gulshan-e-Usman Housing Society, Karachi",4.0,5.0,120
13126,"Bath Island, Karachi",4.0,5.0,300
12377,"Bahria Town - Precinct 8, Bahria Town Karachi",5.0,5.0,250
5578,"Shahmir Residency, University Road",4.0,4.0,120
4625,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
11548,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
11531,"Saima Presidency, Malir Cantonment",3.0,3.0,178
12626,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
10217,"Emaar Coral Towers, Emaar Crescent Bay",3.0,5.0,245
13522,"DHA Phase 5, DHA Defence",5.0,5.0,500
8821,"Bahria Town - Precinct 18, Bahria Town Karachi",3.0,3.0,45
15775,"DHA Phase 6, DHA Defence",6.0,6.0,500
5084,"Scheme 33, Karachi",2.0,2.0,120
12348,"Askari 5, Malir Cantonment",4.0,4.0,333
14049,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar",3.0,3.0,300
8949,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
19277,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar",2.0,3.0,128
11919,other,2.0,2.0,257
17114,"Salafia Society, Taiser Town",2.0,3.0,120
3349,"DHA Phase 4, DHA Defence",5.0,6.0,300
17094,"DHA Phase 5, DHA Defence",6.0,6.0,500
13309,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
4235,"North Nazimabad - Block B, North Nazimabad",2.0,2.0,100
18777,"North Karachi, Karachi",6.0,6.0,120
18661,"Shadman Town - Sector-14/B, Shadman",2.0,2.0,72
18952,other,2.0,2.0,111
6131,"DHA Phase 6, DHA Defence",6.0,6.0,500
12887,"Defence View Society, Karachi",3.0,4.0,200
8326,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
12741,"Bahria Apartments, Bahria Town Karachi",3.0,3.0,250
11437,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",2.0,2.0,106
9427,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
4464,"Clifton - Block 8, Clifton",3.0,4.0,222
15736,other,4.0,5.0,280
2884,"Askari 5, Malir Cantonment",4.0,4.0,330
3654,"Emaar Pearl Towers, Emaar Crescent Bay",3.0,4.0,267
3481,"Gulshan-e-Iqbal - Block 4A, Gulshan-e-Iqbal",2.0,2.0,111
19215,"Federal B Area, Karachi",3.0,2.0,120
17699,other,3.0,3.0,156
10351,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
12315,"Bahria Town Karachi, Karachi",2.0,2.0,122
6631,other,11.0,6.0,300
15229,"Falcon Complex New Malir, Malir",4.0,4.0,350
15290,"Gulshan-e-Iqbal - Block 10, Gulshan-e-Iqbal",5.0,5.0,400
3438,"Malir, Karachi",2.0,2.0,100
8283,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
13639,other,4.0,4.0,80
16959,"Gohar Green City, Karachi",2.0,2.0,75
2800,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,120
12027,"DHA Phase 4, DHA Defence",6.0,6.0,300
17001,"Askari 5, Malir Cantonment",4.0,4.0,330
17224,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",6.0,6.0,240
12556,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
3653,"Government Teacher Housing Society - Sector 16-A, Scheme 33 - Sector 16-A",2.0,2.0,83
18193,"Shamsi Society, Shah Faisal Town",3.0,2.0,89
1514,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",3.0,3.0,133
2483,"Saima Arabian Villas, Gadap Town",2.0,2.0,120
6000,"Model Colony - Malir, Malir",6.0,6.0,120
18040,other,2.0,2.0,94
8133,"Shahmir Residency, University Road",4.0,4.0,120
6271,"Emaar Pearl Towers, Emaar Crescent Bay",4.0,5.0,372
7094,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",4.0,5.0,120
9533,"PECHS Block 2, PECHS",3.0,4.0,167
11183,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
1529,"Allahwala Town - Sector 31-B, Allahwala Town",2.0,1.0,50
13236,"North Nazimabad - Block N, North Nazimabad",8.0,6.0,625
4379,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",6.0,6.0,310
3713,"Falcon Complex New Malir, Malir",5.0,5.0,500
15698,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
9204,"Bahria Town - Precinct 6, Bahria Town Karachi",4.0,4.0,272
9150,"DHA Phase 2 Extension, DHA Defence",3.0,3.0,200
5612,other,2.0,2.0,100
17682,"Askari 5 - Sector F, Askari 5",3.0,3.0,289
14747,"North Nazimabad - Block F, North Nazimabad",4.0,4.0,289
18270,"Airport, Karachi",2.0,2.0,150
13416,other,5.0,6.0,500
2897,"Bahria Town - Precinct 4, Bahria Town Karachi",6.0,7.0,500
10580,"Bahadurabad, Gulshan-e-Iqbal Town",2.0,2.0,111
200,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
7399,"Bahria Town - Precinct 19, Bahria Town Karachi",2.0,2.0,106
8319,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
5667,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",3.0,3.0,172
16362,"Civil Lines, Karachi",4.0,4.0,289
6159,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",2.0,2.0,100
6995,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",4.0,4.0,267
12092,"DHA Phase 6, DHA Defence",6.0,6.0,500
17721,"Badar Commercial Area, DHA Phase 5",3.0,3.0,133
12163,"Mohammad Ali Society, Gulshan-e-Iqbal Town",4.0,4.0,356
8382,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
3394,"Askari 5 - Sector J, Askari 5",3.0,3.0,306
17593,"Model Colony - Malir, Malir",4.0,5.0,110
4587,"Clifton - Block 2, Clifton",4.0,4.0,267
11789,"Askari 5 - Sector G, Askari 5",5.0,5.0,507
11154,"Gulzar-e-Hijri, Scheme 33",3.0,3.0,144
4346,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A",6.0,6.0,240
6115,"Saadi Town, Scheme 33",4.0,5.0,120
13132,"Gulistan-e-Jauhar - Block 17, Gulistan-e-Jauhar",3.0,3.0,167
2894,"Bahria Town Karachi, Karachi",4.0,4.0,60
18886,"Noman Residencia, Scheme 33",2.0,2.0,128
4865,"Falaknaz Presidency, Malir",2.0,2.0,117
7879,"DHA Phase 6, DHA Defence",7.0,9.0,500
17550,"Bahadurabad, Gulshan-e-Iqbal Town",3.0,4.0,194
6687,other,3.0,3.0,120
14278,"Clifton, Karachi",4.0,4.0,434
13286,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",3.0,3.0,240
6321,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",3.0,3.0,133
12530,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,150
3955,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",2.0,2.0,106
15992,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
16548,"State Bank of Pakistan Housing Society, Scheme 33 - Sector 17-A",2.0,2.0,111
5700,"Allahwala Town - Sector 31-G, Allahwala Town",3.0,2.0,83
163,"Defence View Phase 1, Defence View Society",3.0,3.0,189
10989,"Emaar The Views, DHA Phase 8",1.0,1.0,161
1848,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,108
6682,other,2.0,2.0,120
11348,"DHA Phase 4, DHA Defence",3.0,3.0,133
2415,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
12039,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
13092,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
6490,other,4.0,4.0,200
18945,"Rafi Premier Residency, Scheme 33",2.0,2.0,83
18351,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",3.0,3.0,139
19120,"Delhi Colony, Karachi",4.0,3.0,139
3669,"Frere Town, Karachi",2.0,2.0,122
5715,"Emaar Coral Towers, Emaar Crescent Bay",4.0,5.0,726
18289,"DHA Phase 6, DHA Defence",6.0,6.0,500
16791,"DHA Phase 6, DHA Defence",6.0,6.0,500
5008,"Clifton - Block 1, Clifton",3.0,3.0,167
12028,"DHA Phase 6, DHA Defence",5.0,5.0,500
630,"Sharfabad, Gulshan-e-Iqbal Town",5.0,6.0,267
3223,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,467
11320,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,145
9131,"Bahria Central Park Apartments, Bahria Town Karachi",2.0,3.0,122
7802,"Bahria Sports City, Bahria Town Karachi",4.0,4.0,350
16467,"Clifton - Block 4, Clifton",2.0,2.0,122
2860,"Scheme 33, Karachi",2.0,2.0,111
10229,"Bahria Paradise - Precinct 51, Bahria Paradise",5.0,6.0,500
18458,other,3.0,3.0,400
17948,"North Nazimabad - Block K, North Nazimabad",2.0,2.0,106
15911,"Falcon Complex New Malir, Malir",5.0,5.0,500
17814,other,3.0,3.0,167
2276,"DHA Phase 6, DHA Defence",5.0,6.0,500
16155,"Bahria Apartments, Bahria Town Karachi",4.0,4.0,328
7436,"Nazimabad - Block 5C, Nazimabad",3.0,3.0,89
10627,"Nishat Commercial Area, DHA Phase 6",2.0,2.0,106
12129,"Bahria Town Karachi, Karachi",1.0,1.0,94
11771,"Government Teacher Housing Society - Sector 16-A, Scheme 33 - Sector 16-A",2.0,2.0,106
1796,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,108
16312,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",3.0,3.0,122
17675,"Askari 5 - Sector J, Askari 5",5.0,6.0,375
14002,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",6.0,6.0,300
11556,"Bahria Town - Ali Block, Bahria Town - Precinct 12",4.0,5.0,125
5325,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,167
2421,"Bahria Town Karachi, Karachi",2.0,2.0,35
15752,"North Nazimabad - Block M, North Nazimabad",2.0,2.0,80
8606,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
3318,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,230
2612,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",3.0,3.0,240
18727,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",5.0,5.0,178
2849,"DHA Phase 8 - Zone A, DHA Phase 8",5.0,6.0,500
2911,"DHA Phase 8, DHA Defence",5.0,7.0,500
14407,"Diamond Residency, Defence View Phase 2",2.0,2.0,80
9135,"Bahria Apartments, Bahria Town Karachi",3.0,3.0,250
9274,"Bahria Town Karachi, Karachi",2.0,2.0,129
1343,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
9490,"Bahria Apartments, Bahria Town Karachi",3.0,3.0,250
12167,"PECHS Block 2, PECHS",4.0,6.0,244
12118,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
18678,"Ittehad Commercial Area, DHA Phase 6",3.0,3.0,183
4543,"Falaknaz Dreams, Malir",2.0,2.0,101
17853,"Muslim Commercial Area, DHA Phase 6",2.0,2.0,50
1302,"Jinnah Avenue, Karachi",2.0,2.0,58
6477,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",2.0,2.0,122
1900,"Clifton - Block 9, Clifton",2.0,2.0,133
6877,other,2.0,2.0,100
5873,"Diamond Tower & Shopping Mall, Gulshan-e-Maymar - Sector W",2.0,2.0,78
1378,"Askari 5, Malir Cantonment",4.0,4.0,333
19375,"Mehmoodabad, Karachi",2.0,2.0,70
16781,"Gulistan-e-Jauhar - Block 17, Gulistan-e-Jauhar",3.0,3.0,167
18978,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,156
4581,"Saima Luxury Homes, Karachi",4.0,4.0,120
13986,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",4.0,5.0,400
8137,"Shahmir Residency, University Road",4.0,4.0,120
18030,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",2.0,2.0,111
6409,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",6.0,6.0,450
291,"Saima Arabian Villas, Gadap Town",4.0,4.0,120
874,"Saima Arabian Villas, Gadap Town",3.0,3.0,120
7474,"Gulshan-e-Iqbal - Block 13/C, Gulshan-e-Iqbal",3.0,3.0,240
9809,other,3.0,4.0,200
1615,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,200
575,"Bahria Town Karachi, Karachi",5.0,6.0,500
3002,"DHA Phase 7, DHA Defence",6.0,6.0,516
782,"Saima Presidency, Malir Cantonment",3.0,3.0,161
19103,"Bahria Town Karachi, Karachi",4.0,4.0,250
14585,"Clifton - Block 9, Clifton",3.0,3.0,222
13024,"Bath Island, Karachi",3.0,3.0,222
12308,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
4749,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",6.0,6.0,500
8637,"Falaknaz Presidency, Malir",3.0,3.0,167
11696,"DHA Phase 5, DHA Defence",4.0,5.0,500
10227,"DHA Phase 6, DHA Defence",5.0,5.0,500
17736,"Civil Lines, Karachi",4.0,5.0,267
18539,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",2.0,2.0,106
7300,"DHA Phase 4, DHA Defence",4.0,5.0,300
8489,"Falcon Complex New Malir, Malir",4.0,4.0,350
5827,"Shaheed Millat Road, Karachi",4.0,4.0,267
2085,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
6635,"Scheme 33, Karachi",6.0,6.0,400
13294,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",3.0,3.0,240
4868,"DHA Phase 8, DHA Defence",5.0,6.0,500
15880,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",2.0,2.0,94
7,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
13386,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
15018,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
11682,"Bukhari Commercial Area, DHA Phase 6",3.0,2.0,128
9965,"Badar Commercial Area, DHA Phase 5",2.0,2.0,106
17907,"Shaheed Millat Road, Karachi",2.0,2.0,122
10542,"Harmain Royal Residency, Gulshan-e-Iqbal Town",3.0,3.0,150
18412,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",4.0,5.0,120
18776,"North Nazimabad, Karachi",7.0,6.0,240
3159,"Sharfabad, Gulshan-e-Iqbal Town",5.0,6.0,244
15467,"Bahria Town Karachi, Karachi",2.0,2.0,130
18815,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",3.0,3.0,240
9290,"Bahria Town Karachi, Karachi",2.0,2.0,164
7383,"DHA Phase 8, DHA Defence",2.0,3.0,206
6637,"Malir Cantonment, Cantt",6.0,6.0,550
16203,other,3.0,3.0,200
2135,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",1.0,1.0,64
5172,"DHA Phase 6, DHA Defence",5.0,6.0,500
16374,"Clifton - Block 7, Clifton",3.0,3.0,200
9726,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
16332,"Clifton, Karachi",3.0,3.0,194
10986,"Emaar The Views, DHA Phase 8",2.0,3.0,205
13352,other,5.0,5.0,250
1289,"DHA Phase 8, DHA Defence",4.0,5.0,120
5958,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",3.0,4.0,240
4034,"Bahria Heights, Bahria Town Karachi",2.0,2.0,58
17670,"North Nazimabad, Karachi",4.0,4.0,250
3164,"Scheme 33, Karachi",2.0,3.0,120
174,"Clifton - Block 4, Clifton",3.0,3.0,200
3300,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
